A,B,StadDistMiles
United Center (CHI),Philips Arena (ATL),588
United Center (CHI),Spectrum Center (CHA),589
United Center (CHI),AmericanAirlines Arena (MIA),1188
United Center (CHI),Amway Center (ORL),985
United Center (CHI),Verizon Center (WSH),598
United Center (CHI),ORACLE Arena (GS),1848
United Center (CHI),Staples Center (LAC),1745
United Center (CHI),Staples Center (LAL),1745
United Center (CHI),Talking Stick Resort Arena (PHX),1452
United Center (CHI),Golden 1 Center (SAC),1791
United Center (CHI),American Airlines Center (DAL),806
United Center (CHI),Toyota Center (HOU),939
United Center (CHI),FedExForum (MEM),481
United Center (CHI),Smoothie King Center (NO),833
United Center (CHI),AT&T Center (SA),1048
United Center (CHI),Pepsi Center (DEN),919
United Center (CHI),Target Center (MIN),355
United Center (CHI),Chesapeake Energy Arena (OKC),691
United Center (CHI),Moda Center at the Rose Quarter (POR),1756
United Center (CHI),Vivint Smart Home Arena (UTA),1258
Quicken Loans Arena (CLE),TD Garden (BOS),550
Quicken Loans Arena (CLE),Barclays Center (BKN),406
Quicken Loans Arena (CLE),Madison Square Garden (NY),404
Quicken Loans Arena (CLE),Wells Fargo Center (PHI),359
Quicken Loans Arena (CLE),Air Canada Centre (TOR),189
Quicken Loans Arena (CLE),United Center (CHI),310
Quicken Loans Arena (CLE),Quicken Loans Arena (CLE),0
Quicken Loans Arena (CLE),The Palace of Auburn Hills (DET),115
Quicken Loans Arena (CLE),Bankers Life Fieldhouse (IND),263
Quicken Loans Arena (CLE),BMO Harris Bradley Center (MIL),336
Quicken Loans Arena (CLE),Philips Arena (ATL),553
Quicken Loans Arena (CLE),Spectrum Center (CHA),434
Quicken Loans Arena (CLE),AmericanAirlines Arena (MIA),1085
Quicken Loans Arena (CLE),Amway Center (ORL),893
Quicken Loans Arena (CLE),Verizon Center (WSH),305
Quicken Loans Arena (CLE),ORACLE Arena (GS),2159
Quicken Loans Arena (CLE),Staples Center (LAC),2050
Quicken Loans Arena (CLE),Staples Center (LAL),2050
Quicken Loans Arena (CLE),Talking Stick Resort Arena (PHX),1749
Quicken Loans Arena (CLE),Golden 1 Center (SAC),2102
Quicken Loans Arena (CLE),American Airlines Center (DAL),1031
Quicken Loans Arena (CLE),Toyota Center (HOU),1114
Quicken Loans Arena (CLE),FedExForum (MEM),630
Quicken Loans Arena (CLE),Smoothie King Center (NO),923
Quicken Loans Arena (CLE),AT&T Center (SA),1254
Quicken Loans Arena (CLE),Pepsi Center (DEN),1228
Quicken Loans Arena (CLE),Target Center (MIN),633
Quicken Loans Arena (CLE),Chesapeake Energy Arena (OKC),951
Quicken Loans Arena (CLE),Moda Center at the Rose Quarter (POR),2055
Quicken Loans Arena (CLE),Vivint Smart Home Arena (UTA),1568
The Palace of Auburn Hills (DET),TD Garden (BOS),622
The Palace of Auburn Hills (DET),Barclays Center (BKN),498
The Palace of Auburn Hills (DET),Madison Square Garden (NY),496
The Palace of Auburn Hills (DET),Wells Fargo Center (PHI),462
The Palace of Auburn Hills (DET),Air Canada Centre (TOR),206
The Palace of Auburn Hills (DET),United Center (CHI),233
The Palace of Auburn Hills (DET),Quicken Loans Arena (CLE),115
The Palace of Auburn Hills (DET),The Palace of Auburn Hills (DET),0
The Palace of Auburn Hills (DET),Bankers Life Fieldhouse (IND),252
The Palace of Auburn Hills (DET),BMO Harris Bradley Center (MIL),238
The Palace of Auburn Hills (DET),Philips Arena (ATL),619
The Palace of Auburn Hills (DET),Spectrum Center (CHA),531
The Palace of Auburn Hills (DET),AmericanAirlines Arena (MIA),1178
The Palace of Auburn Hills (DET),Amway Center (ORL),981
The Palace of Auburn Hills (DET),Verizon Center (WSH),418
The Palace of Auburn Hills (DET),ORACLE Arena (GS),2071
The Palace of Auburn Hills (DET),Staples Center (LAC),1977
The Palace of Auburn Hills (DET),Staples Center (LAL),1977
The Palace of Auburn Hills (DET),Talking Stick Resort Arena (PHX),1685
The Palace of Auburn Hills (DET),Golden 1 Center (SAC),2013
The Palace of Auburn Hills (DET),American Airlines Center (DAL),1011
The Palace of Auburn Hills (DET),Toyota Center (HOU),1117
The Palace of Auburn Hills (DET),FedExForum (MEM),636
The Palace of Auburn Hills (DET),Smoothie King Center (NO),956
The Palace of Auburn Hills (DET),AT&T Center (SA),1245
The Palace of Auburn Hills (DET),Pepsi Center (DEN),1148
The Palace of Auburn Hills (DET),Target Center (MIN),527
The Palace of Auburn Hills (DET),Chesapeake Energy Arena (OKC),913
The Palace of Auburn Hills (DET),Moda Center at the Rose Quarter (POR),1951
The Palace of Auburn Hills (DET),Vivint Smart Home Arena (UTA),1479
Bankers Life Fieldhouse (IND),TD Garden (BOS),807
Bankers Life Fieldhouse (IND),Barclays Center (BKN),646
Bankers Life Fieldhouse (IND),Madison Square Garden (NY),646
Bankers Life Fieldhouse (IND),Wells Fargo Center (PHI),583
Bankers Life Fieldhouse (IND),Air Canada Centre (TOR),440
Bankers Life Fieldhouse (IND),United Center (CHI),166
Bankers Life Fieldhouse (IND),Quicken Loans Arena (CLE),263
Bankers Life Fieldhouse (IND),The Palace of Auburn Hills (DET),252
Bankers Life Fieldhouse (IND),Bankers Life Fieldhouse (IND),0
Bankers Life Fieldhouse (IND),BMO Harris Bradley Center (MIL),244
Bankers Life Fieldhouse (IND),Philips Arena (ATL),425
Bankers Life Fieldhouse (IND),Spectrum Center (CHA),427
Bankers Life Fieldhouse (IND),AmericanAirlines Arena (MIA),1022
Bankers Life Fieldhouse (IND),Amway Center (ORL),820
Bankers Life Fieldhouse (IND),Verizon Center (WSH),492
Bankers Life Fieldhouse (IND),ORACLE Arena (GS),1941
Bankers Life Fieldhouse (IND),Staples Center (LAC),1811
Bankers Life Fieldhouse (IND),Staples Center (LAL),1811
Bankers Life Fieldhouse (IND),Talking Stick Resort Arena (PHX),1499
Bankers Life Fieldhouse (IND),Golden 1 Center (SAC),1887
Bankers Life Fieldhouse (IND),American Airlines Center (DAL),769
Bankers Life Fieldhouse (IND),Toyota Center (HOU),865
Bankers Life Fieldhouse (IND),FedExForum (MEM),383
Bankers Life Fieldhouse (IND),Smoothie King Center (NO),711
Bankers Life Fieldhouse (IND),AT&T Center (SA),996
Bankers Life Fieldhouse (IND),Pepsi Center (DEN),1002
Bankers Life Fieldhouse (IND),Target Center (MIN),513
Bankers Life Fieldhouse (IND),Chesapeake Energy Arena (OKC),689
Bankers Life Fieldhouse (IND),Moda Center at the Rose Quarter (POR),1885
Bankers Life Fieldhouse (IND),Vivint Smart Home Arena (UTA),1357
BMO Harris Bradley Center (MIL),TD Garden (BOS),858
BMO Harris Bradley Center (MIL),Barclays Center (BKN),736
BMO Harris Bradley Center (MIL),Madison Square Garden (NY),734
BMO Harris Bradley Center (MIL),Wells Fargo Center (PHI),695
BMO Harris Bradley Center (MIL),Air Canada Centre (TOR),432
BMO Harris Bradley Center (MIL),United Center (CHI),81
BMO Harris Bradley Center (MIL),Quicken Loans Arena (CLE),336
BMO Harris Bradley Center (MIL),The Palace of Auburn Hills (DET),238
BMO Harris Bradley Center (MIL),Bankers Life Fieldhouse (IND),244
BMO Harris Bradley Center (MIL),BMO Harris Bradley Center (MIL),0
BMO Harris Bradley Center (MIL),Philips Arena (ATL),668
BMO Harris Bradley Center (MIL),Spectrum Center (CHA),659
BMO Harris Bradley Center (MIL),AmericanAirlines Arena (MIA),1266
BMO Harris Bradley Center (MIL),Amway Center (ORL),1064
BMO Harris Bradley Center (MIL),Verizon Center (WSH),636
BMO Harris Bradley Center (MIL),ORACLE Arena (GS),1833
BMO Harris Bradley Center (MIL),Staples Center (LAC),1745
BMO Harris Bradley Center (MIL),Staples Center (LAL),1745
BMO Harris Bradley Center (MIL),Talking Stick Resort Arena (PHX),1463
